date,price,volume
2019-01-10,12.88,12539386
2019-01-09,12.75,10547375
2019-01-08,12.72,13644326
2019-01-07,12.65,11618218
2019-01-04,12.62,13672600
2019-01-03,12.25,18307867
2018-12-28,12.24,14007090
2018-12-27,11.76,18270070
2018-12-21,12.02,40695317
2018-12-20,11.91,25611551
2018-12-19,12.4,15267889
2018-12-18,12.28,14606038
2018-12-17,12.33,14327065
2018-12-14,12.51,14175406
2018-12-13,12.61,14706782
2018-12-12,12.67,19308702
2018-12-11,12.38,18378996
2018-12-10,12.17,16536206
2018-12-07,12.56,14895536
2018-12-06,12.5,20898420
2018-12-05,13.15,13184059
2018-12-04,13.37,13980567
2018-12-03,13.71,13085202
2018-11-30,13.5,15949731
2018-11-29,13.65,10874044
2018-11-28,13.54,13770339
2018-11-27,13.71,12872236
2018-11-26,13.8,13671823
2018-11-23,13.49,7666160
2018-11-22,13.47,11706100
2018-11-21,13.63,19956217
2018-11-20,13.26,18870842
2018-11-19,13.58,10210863
2018-11-16,13.63,16102824
2018-11-15,13.62,14196747
2018-11-14,13.83,15791025
2018-11-13,13.86,15029092
2018-11-12,13.79,16284659
2018-11-09,14.12,20981096
2018-11-08,14.51,16088862
2018-11-07,14.32,12141013
2018-11-06,14.13,8226936
2018-11-05,14.23,9909914
2018-11-02,14.32,17875461
2018-11-01,14.18,17983351
2018-10-31,14.09,22435155
2018-10-30,13.68,26729015
2018-10-29,13.42,21573917
2018-10-26,13.16,22929409
2018-10-25,13.39,19456552
2018-10-24,13.25,14081149
2018-10-23,13.51,17363533
2018-10-22,13.78,11815496
2018-10-19,13.86,18344068
2018-10-18,13.97,12653856
2018-10-17,14.15,10263611
2018-10-16,14.13,9728651
2018-10-15,14.07,10354804
2018-10-12,14.14,12970373
2018-10-11,14.13,23145377
2018-10-10,14.65,9593106
2018-10-09,14.75,11781534
2018-10-08,14.78,15686242
2018-10-05,15.08,13505178
2018-10-04,15.33,10590077
2018-10-03,15.22,9626332
2018-10-02,15.15,12607436
2018-10-01,15.36,9988107
2018-09-28,15.5,15629568
2018-09-27,15.83,13521991
2018-09-26,15.94,11552026
2018-09-25,15.93,12456559
2018-09-24,15.82,11111711
2018-09-21,15.85,33403535
2018-09-20,15.88,21549752
2018-09-19,15.42,14353595
2018-09-18,15.1,7942714
2018-09-17,15.13,7411782
2018-09-14,15.09,6655567
2018-09-13,15.05,8138728
2018-09-12,15.04,6496389
2018-09-11,15.08,8507831
2018-09-10,15.19,9099996
2018-09-07,15.16,14161403
2018-09-06,15.3,9613446
2018-09-05,15.44,16325748
2018-09-04,15.24,7510966
2018-09-03,15.22,6224072
2018-08-31,15.14,8791581
2018-08-30,15.29,7902358
2018-08-29,15.43,4989514
2018-08-28,15.45,7575091
2018-08-27,15.49,5831410
2018-08-24,15.39,5657976
2018-08-23,15.31,8978800
2018-08-22,15.41,9889997
2018-08-21,15.55,9564236
2018-08-20,15.44,6312015
2018-08-17,15.34,8427013
2018-08-16,15.46,6764836
2018-08-15,15.31,9510284
2018-08-14,15.42,6522085
2018-08-13,15.45,8585150
2018-08-10,15.61,10863640
2018-08-09,15.95,5055484
2018-08-08,16,5909577
2018-08-07,16.01,7130088
2018-08-06,15.89,9352583
2018-08-03,16.04,8100363
2018-08-02,16.03,16551205
2018-07-31,16.32,14005841
2018-07-30,16.18,8720081
2018-07-27,16.15,11922539
2018-07-26,16,12448435
2018-07-25,15.89,15177914
2018-07-24,15.95,22010226
2018-07-23,15.29,14675541
2018-07-20,15.25,13695035
2018-07-19,15.37,10918870
2018-07-18,15.37,12150508
2018-07-17,15.14,8814673
2018-07-16,15.13,13359241
2018-07-13,15.07,11910888
2018-07-12,15,11635075
2018-07-11,14.92,11169313
2018-07-10,15.16,9345759
2018-07-09,15.22,10976602
2018-07-06,15.17,7633806
2018-07-05,15.16,9832633
2018-07-04,15.04,7902587
2018-07-03,15.06,11009977
2018-07-02,15.1,9554022
2018-06-29,15.33,18105265
2018-06-28,15.14,11534492
2018-06-27,15.24,15174529
2018-06-26,15.11,11355990
2018-06-25,15.05,12891494
2018-06-22,15.48,11611441
2018-06-21,15.08,15555224
2018-06-20,15.29,22850052
2018-06-19,15.07,19605593
2018-06-18,15.16,11546070
2018-06-15,15.45,29109832
2018-06-14,15.76,13681454
2018-06-13,15.62,10372268
2018-06-12,15.73,10825929
2018-06-11,15.7,16968267
2018-06-08,15.2,14998063
2018-06-07,15.31,13258817
2018-06-06,15.21,13704861
2018-06-05,15.06,14624978
2018-06-04,15.47,12276749
2018-06-01,15.32,24267374
2018-05-31,14.85,33875537
2018-05-30,15.18,16675398
2018-05-29,15.24,24913544
2018-05-28,15.73,8275268
2018-05-25,15.77,15078092
2018-05-24,15.82,16422073
2018-05-23,16.02,15652716
2018-05-22,16.32,14751543
2018-05-18,16,12865746
2018-05-17,16.14,8589518
2018-05-16,16.05,17210657
2018-05-15,16.31,12087894
2018-05-14,16.29,10854821
2018-05-11,16.43,17600187
2018-05-09,16.22,11977564
2018-05-08,16.08,13070661
2018-05-07,16.01,14510503
2018-05-04,16.61,13656052
2018-05-03,16.38,13023785
2018-05-02,16.63,14648311
2018-04-30,16.77,10745828
2018-04-27,16.61,10683892
2018-04-26,16.7,13666056
2018-04-25,16.46,26914613
2018-04-24,16.72,18503839
2018-04-23,16.77,28143046
2018-04-20,17.2,19456971
2018-04-19,17.12,15599696
2018-04-18,16.93,13265244
2018-04-17,16.95,7017324
2018-04-16,16.86,9637443
2018-04-13,16.88,10982130
2018-04-12,16.84,7962865
2018-04-11,16.63,7069235
2018-04-10,16.72,8606628
2018-04-09,16.58,7733534
2018-04-06,16.52,8805085
2018-04-05,16.68,17713932
2018-04-04,16.19,16701747
2018-04-03,16.51,14443953
2018-03-29,16.8,10376275
2018-03-28,16.86,12864318
2018-03-27,16.77,18739709
2018-03-26,16.51,14555043
2018-03-23,16.58,17592135
2018-03-22,16.7,16960071
2018-03-21,17.3,10828412
